X,Y,Alt,Annual_SMB (m w.e.)
427303.78294684296,5140493.880264657,1924.0,-11.247285123966941
427303.78294684296,5140493.880264657,1924.0,-10.61680462184874
427311.0363584802,5140405.753423784,1950.0,-10.288204054054052
427311.0363584802,5140405.753423784,1950.0,-8.736935013262599
427311.0363584802,5140405.753423784,1950.0,-8.948127384196185
427311.0363584802,5140405.753423784,1950.0,-8.425835851648351
427311.0363584802,5140405.753423784,1950.0,-9.879811813186814
427311.0363584802,5140405.753423784,1950.0,-10.025204419889503
427311.0363584802,5140405.753423784,1950.0,-8.66967032967033
427311.0363584802,5140405.753423784,1950.0,-9.284260135135135
427311.0363584802,5140405.753423784,1950.0,-9.735663698630136
427311.0363584802,5140405.753423784,1950.0,-10.136450557103064
427311.0363584802,5140405.753423784,1950.0,-9.707801652892561
427311.0363584802,5140405.753423784,1950.0,-10.492181506849317
427311.0363584802,5140405.753423784,1950.0,-11.866170731707316
427311.0363584802,5140405.753423784,1950.0,-10.785440082644627
427311.0363584802,5140405.753423784,1950.0,-9.970419421487604
427352.8135561358,5140596.889658096,1956.0,-11.247285123966941
427285.3187670861,5140369.269673116,1975.0,-10.524724789915966
427311.0363584802,5140405.753423784,1980.0,-9.744669863013698
427241.4335740979,5140324.147341658,1980.0,-11.058690633245384
427456.7030859383,5140844.7850338025,2002.0,-9.488602702702703
427456.7030859383,5140844.7850338025,2002.0,-9.488602702702703
429235.77286699804,5143642.014464337,2206.0,-5.564401617250674
429565.74888778187,5143593.48624589,2231.0,-7.707711538461538
429320.85944587726,5144707.127816299,2297.0,-6.0875
428536.65254834783,5147162.211356873,2426.0,-5.72225
428536.65254834783,5147162.211356873,2426.0,-3.650530997304582
426575.45813830965,5149657.628328815,2639.0,-2.4011987870619946
424030.2349040587,5152651.556912258,2861.0,-0.8063066037735849
422102.09713449224,5154898.8041791,3335.3,2.241879310344828
422102.2069831377,5154899.301920946,3335.3,0.5098931623931624
422096.38966236706,5154913.514930625,3335.5,2.241879310344828
422102.0051132431,5154899.205938055,3336.5,0.776771563342318
422101.9071495284,5154899.307863411,3337.8,0.9600857142857143
422102.3870639925,5154898.298513959,3339.4,0.9672361111111112
422102.7472257063,5154896.291700004,3339.6,2.0454
422102.66708938463,5154897.293126158,3340.1,2.352639705882353
422096.39164319105,5154913.614875163,3340.2,2.329217213114754
422102.4889893505,5154898.396477672,3340.3,1.5074129834254144
422102.39498727955,5154898.698292096,3340.6,2.407232456140351
422102.78288049414,5154898.090701607,3340.8,1.4630235457063714
422101.8100892797,5154894.410581254,3341.1,2.620762886597938
422098.57151816576,5154907.572644055,3341.3,2.1174064285714285
422102.97088463645,5154897.487072763,3341.4,1.1056483739837397
422099.13553058036,5154905.761757477,3341.4,1.5170485933503837
422100.64244798105,5154896.033463649,3342.3,1.68691757493188
422102.9683487828,5154922.583055164,3350.0,0.9595550847457628
422102.9683487828,5154922.583055164,3350.0,2.835330508474576
422102.9683487828,5154922.583055164,3350.0,2.724405737704918
422089.78501944616,5154948.540175157,3350.3,2.446975409836065
